strike,optiontype,BUY/SELL,price,current_price,Datetime
19750,CE,SELL,287.8,0.1,01/08/2023 09:20:59
19750,PE,SELL,181.2,497.6,01/08/2023 09:20:59
20450,CE,BUY,36.45,0.05,01/08/2023 09:20:59
19050,PE,BUY,32.35,0.1,01/08/2023 09:20:59
19750,CE,SELL,250.0,0.1,01/08/2023 10:48:59
20450,CE,BUY,28.2,0.05,01/08/2023 10:48:59
19750,CE,SELL,201.45,0.1,02/08/2023 09:20:59
20450,CE,BUY,19.8,0.05,02/08/2023 09:20:59
19750,CE,SELL,179.1,0.1,02/08/2023 10:32:59
20450,CE,BUY,16.95,0.05,02/08/2023 10:32:59
19750,CE,SELL,161.1,0.1,02/08/2023 11:34:59
20450,CE,BUY,17.25,0.05,02/08/2023 11:34:59
19750,CE,SELL,144.15,0.1,02/08/2023 13:27:59
20450,CE,BUY,16.55,0.05,02/08/2023 13:27:59
19750,CE,SELL,128.9,0.1,02/08/2023 14:19:59
20450,CE,BUY,16.2,0.05,02/08/2023 14:19:59
19750,CE,SELL,115.85,0.1,03/08/2023 12:20:59
20450,CE,BUY,15.35,0.05,03/08/2023 12:20:59
19750,CE,SELL,102.2,0.1,03/08/2023 12:45:59
20450,CE,BUY,15.25,0.05,03/08/2023 12:45:59
19750,CE,SELL,91.8,0.1,03/08/2023 13:20:59
20450,CE,BUY,15.15,0.05,03/08/2023 13:20:59
19750,CE,SELL,80.35,0.1,11/08/2023 09:21:59
20450,CE,BUY,8.0,0.05,11/08/2023 09:21:59
19750,CE,SELL,71.65,0.1,11/08/2023 09:50:59
20450,CE,BUY,7.45,0.05,11/08/2023 09:50:59
19750,CE,SELL,64.35,0.1,11/08/2023 11:02:59
20450,CE,BUY,7.2,0.05,11/08/2023 11:02:59
19750,CE,SELL,34.45,0.1,14/08/2023 09:52:59
20450,CE,BUY,6.3,0.05,14/08/2023 09:52:59
19750,CE,SELL,30.85,0.1,16/08/2023 09:34:59
20450,CE,BUY,5.6,0.05,16/08/2023 09:34:59
19750,CE,SELL,27.65,0.1,17/08/2023 12:45:59
20450,CE,BUY,4.4,0.05,17/08/2023 12:45:59
19750,CE,SELL,24.8,0.1,17/08/2023 15:20:59
20450,CE,BUY,3.45,0.05,17/08/2023 15:20:59
19750,CE,SELL,15.8,0.1,18/08/2023 09:22:59
20450,CE,BUY,3.3,0.05,18/08/2023 09:22:59
19750,CE,SELL,14.1,0.1,18/08/2023 10:12:59
20450,CE,BUY,3.25,0.05,18/08/2023 10:12:59
19750,CE,SELL,12.65,0.1,18/08/2023 13:14:59
20450,CE,BUY,2.9,0.05,18/08/2023 13:14:59
19750,CE,SELL,11.25,0.1,22/08/2023 14:39:59
20450,CE,BUY,2.55,0.05,22/08/2023 14:39:59
19750,CE,SELL,9.85,0.1,23/08/2023 09:28:59
20450,CE,BUY,2.2,0.05,23/08/2023 09:28:59
19750,CE,SELL,8.55,0.1,23/08/2023 09:54:59
20450,CE,BUY,2.3,0.05,23/08/2023 09:54:59
19750,CE,SELL,7.45,0.1,24/08/2023 15:24:59
20450,CE,BUY,1.7,0.05,24/08/2023 15:24:59
19750,CE,SELL,4.65,0.1,25/08/2023 09:20:59
20450,CE,BUY,1.8,0.05,25/08/2023 09:20:59
19750,CE,SELL,4.1,0.1,25/08/2023 11:13:59
20450,CE,BUY,1.6,0.05,25/08/2023 11:13:59
19750,CE,SELL,3.65,0.1,28/08/2023 09:23:59
20450,CE,BUY,1.5,0.05,28/08/2023 09:23:59
19750,CE,SELL,3.25,0.1,28/08/2023 09:36:59
20450,CE,BUY,1.35,0.05,28/08/2023 09:36:59
19750,CE,SELL,2.9,0.1,28/08/2023 11:12:59
20450,CE,BUY,1.5,0.05,28/08/2023 11:12:59
19750,CE,SELL,2.6,0.1,28/08/2023 14:23:59
20450,CE,BUY,1.2,0.05,28/08/2023 14:23:59
19750,CE,SELL,2.3,0.1,28/08/2023 15:17:59
20450,CE,BUY,1.1,0.05,28/08/2023 15:17:59
19750,CE,SELL,2.05,0.1,29/08/2023 10:01:59
20450,CE,BUY,1.4,0.05,29/08/2023 10:01:59
19750,CE,SELL,1.8,0.1,29/08/2023 13:01:59
20450,CE,BUY,1.0,0.05,29/08/2023 13:01:59
19750,CE,SELL,1.6,0.1,29/08/2023 13:17:59
20450,CE,BUY,0.9,0.05,29/08/2023 13:17:59
19750,CE,SELL,1.4,0.1,29/08/2023 15:10:59
20450,CE,BUY,0.85,0.05,29/08/2023 15:10:59
19750,CE,SELL,1.2,0.1,30/08/2023 09:20:59
20450,CE,BUY,0.8,0.05,30/08/2023 09:20:59
19750,CE,SELL,1.05,0.1,30/08/2023 09:27:59
20450,CE,BUY,0.65,0.05,30/08/2023 09:27:59
19750,CE,SELL,0.9,0.1,30/08/2023 11:40:59
20450,CE,BUY,0.6,0.05,30/08/2023 11:40:59
19750,CE,SELL,0.8,0.1,30/08/2023 13:05:59
20450,CE,BUY,0.55,0.05,30/08/2023 13:05:59
19750,CE,SELL,0.7,0.1,31/08/2023 09:43:59
20450,CE,BUY,0.3,0.05,31/08/2023 09:43:59
19750,CE,SELL,0.6,0.1,31/08/2023 09:52:59
20450,CE,BUY,0.35,0.05,31/08/2023 09:52:59
19750,CE,SELL,0.5,0.1,31/08/2023 09:57:59
20450,CE,BUY,0.35,0.05,31/08/2023 09:57:59
19750,CE,SELL,0.45,0.1,31/08/2023 13:48:59
