strike,optiontype,BUY/SELL,price,current_price,Datetime
20200,CE,SELL,331.2,1583.4,01/12/2023 09:20:59
20200,PE,SELL,174.5,0.05,01/12/2023 09:20:59
20900,CE,BUY,45.25,880.9,01/12/2023 09:20:59
19500,PE,BUY,45.0,0.05,01/12/2023 09:20:59
20200,PE,SELL,156.8,0.05,01/12/2023 14:04:59
19500,PE,BUY,40.05,0.05,01/12/2023 14:04:59
20200,PE,SELL,85.3,0.05,04/12/2023 09:20:59
19500,PE,BUY,22.65,0.05,04/12/2023 09:20:59
20200,PE,SELL,76.0,0.05,04/12/2023 09:24:59
19500,PE,BUY,20.0,0.05,04/12/2023 09:24:59
20200,PE,SELL,68.05,0.05,04/12/2023 11:44:59
19500,PE,BUY,19.3,0.05,04/12/2023 11:44:59
20200,PE,SELL,61.2,0.05,04/12/2023 14:57:59
19500,PE,BUY,19.0,0.05,04/12/2023 14:57:59
20200,PE,SELL,54.0,0.05,05/12/2023 09:45:59
19500,PE,BUY,19.55,0.05,05/12/2023 09:45:59
20200,PE,SELL,48.5,0.05,05/12/2023 14:57:59
19500,PE,BUY,19.35,0.05,05/12/2023 14:57:59
20200,PE,SELL,43.3,0.05,06/12/2023 11:29:59
19500,PE,BUY,19.85,0.05,06/12/2023 11:29:59
20200,PE,SELL,38.5,0.05,06/12/2023 14:31:59
19500,PE,BUY,17.25,0.05,06/12/2023 14:31:59
20200,PE,SELL,34.0,0.05,07/12/2023 10:43:59
19500,PE,BUY,13.4,0.05,07/12/2023 10:43:59
20200,PE,SELL,30.25,0.05,07/12/2023 11:06:59
19500,PE,BUY,12.55,0.05,07/12/2023 11:06:59
20200,PE,SELL,27.05,0.05,07/12/2023 15:04:59
19500,PE,BUY,11.0,0.05,07/12/2023 15:04:59
20200,PE,SELL,23.65,0.05,08/12/2023 09:20:59
19500,PE,BUY,10.3,0.05,08/12/2023 09:20:59
20200,PE,SELL,21.2,0.05,08/12/2023 11:19:59
19500,PE,BUY,9.75,0.05,08/12/2023 11:19:59
20200,PE,SELL,18.85,0.05,12/12/2023 09:24:59
19500,PE,BUY,8.6,0.05,12/12/2023 09:24:59
20200,PE,SELL,16.75,0.05,13/12/2023 13:54:59
19500,PE,BUY,7.2,0.05,13/12/2023 13:54:59
20200,PE,SELL,14.95,0.05,13/12/2023 15:02:59
19500,PE,BUY,6.75,0.05,13/12/2023 15:02:59
20200,PE,SELL,9.05,0.05,14/12/2023 09:20:59
19500,PE,BUY,5.3,0.05,14/12/2023 09:20:59
20200,PE,SELL,7.8,0.05,18/12/2023 14:47:59
19500,PE,BUY,4.95,0.05,18/12/2023 14:47:59
20200,PE,SELL,6.25,0.05,19/12/2023 09:41:59
19500,PE,BUY,3.9,0.05,19/12/2023 09:41:59
20200,PE,SELL,5.5,0.05,19/12/2023 15:25:59
19500,PE,BUY,3.65,0.05,19/12/2023 15:25:59
20200,PE,SELL,4.7,0.05,20/12/2023 09:21:59
19500,PE,BUY,3.25,0.05,20/12/2023 09:21:59
20200,PE,SELL,4.1,0.05,22/12/2023 09:25:59
19500,PE,BUY,1.95,0.05,22/12/2023 09:25:59
20200,PE,SELL,3.35,0.05,22/12/2023 13:53:59
19500,PE,BUY,1.5,0.05,22/12/2023 13:53:59
20200,PE,SELL,2.9,0.05,22/12/2023 13:54:59
19500,PE,BUY,1.35,0.05,22/12/2023 13:54:59
20200,PE,SELL,2.1,0.05,26/12/2023 09:20:59
19500,PE,BUY,1.3,0.05,26/12/2023 09:20:59
20200,PE,SELL,1.85,0.05,26/12/2023 13:12:59
19500,PE,BUY,1.3,0.05,26/12/2023 13:12:59
20200,PE,SELL,1.65,0.05,26/12/2023 15:00:59
19500,PE,BUY,1.1,0.05,26/12/2023 15:00:59
20200,PE,SELL,1.4,0.05,27/12/2023 10:21:59
19500,PE,BUY,1.05,0.05,27/12/2023 10:21:59
20200,PE,SELL,1.1,0.05,27/12/2023 12:32:59
19500,PE,BUY,1.0,0.05,27/12/2023 12:32:59
20200,PE,SELL,0.8,0.05,28/12/2023 09:20:59
19500,PE,BUY,0.6,0.05,28/12/2023 09:20:59
20200,PE,SELL,0.7,0.05,28/12/2023 09:26:59
19500,PE,BUY,0.65,0.05,28/12/2023 09:26:59
20200,PE,SELL,0.6,0.05,28/12/2023 09:37:59
19500,PE,BUY,0.55,0.05,28/12/2023 09:37:59
20200,PE,SELL,0.5,0.05,28/12/2023 10:04:59
19500,PE,BUY,0.45,0.05,28/12/2023 10:04:59
20200,PE,SELL,0.4,0.05,28/12/2023 10:09:59
19500,PE,BUY,0.35,0.05,28/12/2023 10:09:59
20200,PE,SELL,0.35,0.05,28/12/2023 10:14:59
19500,PE,BUY,0.35,0.05,28/12/2023 10:14:59
20200,PE,SELL,0.3,0.05,28/12/2023 10:19:59
19500,PE,BUY,0.25,0.05,28/12/2023 10:19:59
20200,PE,SELL,0.25,0.05,28/12/2023 13:59:59
19500,PE,BUY,0.35,0.05,28/12/2023 13:59:59
20200,PE,SELL,0.2,0.05,28/12/2023 14:02:59
19500,PE,BUY,0.3,0.05,28/12/2023 14:02:59
20200,PE,SELL,0.15,0.05,28/12/2023 14:16:59
19500,PE,BUY,0.25,0.05,28/12/2023 14:16:59
20200,PE,SELL,0.1,0.05,28/12/2023 14:33:59
19500,PE,BUY,0.1,0.05,28/12/2023 14:33:59
20200,PE,SELL,0.05,0.05,28/12/2023 14:52:59
19500,PE,BUY,0.1,0.05,28/12/2023 14:52:59
