strike,optiontype,BUY/SELL,price,current_price,Datetime
21750,CE,SELL,400.2,232.9,01/02/2024 09:20:59
21750,PE,SELL,340.15,0.05,01/02/2024 09:20:59
22450,CE,BUY,123.7,0.1,01/02/2024 09:20:59
21050,PE,BUY,126.55,0.05,01/02/2024 09:20:59
21750,PE,SELL,306.0,0.05,01/02/2024 10:07:59
21050,PE,BUY,111.45,0.05,01/02/2024 10:07:59
21750,CE,SELL,356.05,232.9,01/02/2024 12:03:59
22450,CE,BUY,98.0,0.1,01/02/2024 12:03:59
21750,CE,SELL,319.8,232.9,01/02/2024 15:15:59
22450,CE,BUY,77.6,0.1,01/02/2024 15:15:59
21750,PE,SELL,219.5,0.05,02/02/2024 09:20:59
21050,PE,BUY,66.3,0.05,02/02/2024 09:20:59
21750,PE,SELL,195.6,0.05,02/02/2024 10:05:59
21050,PE,BUY,60.45,0.05,02/02/2024 10:05:59
21750,PE,SELL,175.3,0.05,02/02/2024 11:39:59
21050,PE,BUY,56.95,0.05,02/02/2024 11:39:59
21750,CE,SELL,286.8,232.9,09/02/2024 10:59:59
22450,CE,BUY,61.4,0.1,09/02/2024 10:59:59
21750,CE,SELL,253.0,232.9,12/02/2024 15:22:59
22450,CE,BUY,44.55,0.1,12/02/2024 15:22:59
21750,CE,SELL,201.0,232.9,14/02/2024 09:25:59
22450,CE,BUY,29.55,0.1,14/02/2024 09:25:59
21750,PE,SELL,157.0,0.05,15/02/2024 13:30:59
21050,PE,BUY,29.1,0.05,15/02/2024 13:30:59
21750,PE,SELL,139.0,0.05,15/02/2024 14:04:59
21050,PE,BUY,25.95,0.05,15/02/2024 14:04:59
21750,PE,SELL,125.0,0.05,15/02/2024 15:28:59
21050,PE,BUY,21.75,0.05,15/02/2024 15:28:59
21750,PE,SELL,112.4,0.05,16/02/2024 10:01:59
21050,PE,BUY,20.45,0.05,16/02/2024 10:01:59
21750,PE,SELL,100.9,0.05,16/02/2024 14:31:59
21050,PE,BUY,17.55,0.05,16/02/2024 14:31:59
21750,PE,SELL,86.2,0.05,19/02/2024 10:25:59
21050,PE,BUY,15.3,0.05,19/02/2024 10:25:59
21750,PE,SELL,73.2,0.05,19/02/2024 12:21:59
21050,PE,BUY,13.6,0.05,19/02/2024 12:21:59
21750,PE,SELL,63.95,0.05,20/02/2024 15:06:59
21050,PE,BUY,10.5,0.05,20/02/2024 15:06:59
21750,PE,SELL,57.1,0.05,20/02/2024 15:29:59
21050,PE,BUY,10.0,0.05,20/02/2024 15:29:59
21750,PE,SELL,51.15,0.05,21/02/2024 09:53:59
21050,PE,BUY,8.6,0.05,21/02/2024 09:53:59
21750,PE,SELL,45.9,0.05,21/02/2024 12:35:59
21050,PE,BUY,7.05,0.05,21/02/2024 12:35:59
21750,PE,SELL,40.95,0.05,21/02/2024 13:40:59
21050,PE,BUY,6.3,0.05,21/02/2024 13:40:59
21750,PE,SELL,36.0,0.05,22/02/2024 14:50:59
21050,PE,BUY,3.6,0.05,22/02/2024 14:50:59
21750,PE,SELL,31.45,0.05,22/02/2024 15:12:59
21050,PE,BUY,3.95,0.05,22/02/2024 15:12:59
21750,PE,SELL,26.85,0.05,23/02/2024 09:20:59
21050,PE,BUY,3.1,0.05,23/02/2024 09:20:59
21750,PE,SELL,23.7,0.05,23/02/2024 10:17:59
21050,PE,BUY,2.85,0.05,23/02/2024 10:17:59
21750,PE,SELL,21.25,0.05,23/02/2024 11:05:59
21050,PE,BUY,2.8,0.05,23/02/2024 11:05:59
21750,PE,SELL,18.7,0.05,26/02/2024 14:24:59
21050,PE,BUY,1.35,0.05,26/02/2024 14:24:59
21750,PE,SELL,16.7,0.05,27/02/2024 11:00:59
21050,PE,BUY,1.2,0.05,27/02/2024 11:00:59
21750,PE,SELL,14.85,0.05,27/02/2024 11:25:59
21050,PE,BUY,1.3,0.05,27/02/2024 11:25:59
21750,PE,SELL,12.6,0.05,27/02/2024 12:48:59
21050,PE,BUY,1.35,0.05,27/02/2024 12:48:59
21750,PE,SELL,10.85,0.05,27/02/2024 13:14:59
21050,PE,BUY,1.5,0.05,27/02/2024 13:14:59
21750,PE,SELL,9.35,0.05,27/02/2024 14:14:59
21050,PE,BUY,1.1,0.05,27/02/2024 14:14:59
21750,PE,SELL,8.4,0.05,27/02/2024 15:04:59
21050,PE,BUY,1.3,0.05,27/02/2024 15:04:59
21750,PE,SELL,6.55,0.05,28/02/2024 09:20:59
21050,PE,BUY,0.9,0.05,28/02/2024 09:20:59
21750,PE,SELL,5.75,0.05,28/02/2024 09:51:59
21050,PE,BUY,0.75,0.05,28/02/2024 09:51:59
21750,PE,SELL,5.05,0.05,28/02/2024 10:06:59
21050,PE,BUY,0.7,0.05,28/02/2024 10:06:59
21750,PE,SELL,4.5,0.05,28/02/2024 10:16:59
21050,PE,BUY,0.75,0.05,28/02/2024 10:16:59
21750,CE,SELL,175.15,232.9,28/02/2024 15:16:59
22450,CE,BUY,3.35,0.1,28/02/2024 15:16:59
21750,CE,SELL,146.8,232.9,29/02/2024 10:13:59
22450,CE,BUY,1.55,0.1,29/02/2024 10:13:59
21750,PE,SELL,4.0,0.05,29/02/2024 12:45:59
21050,PE,BUY,0.3,0.05,29/02/2024 12:45:59
21750,PE,SELL,3.4,0.05,29/02/2024 12:54:59
21050,PE,BUY,0.3,0.05,29/02/2024 12:54:59
21750,PE,SELL,2.65,0.05,29/02/2024 13:12:59
21050,PE,BUY,0.3,0.05,29/02/2024 13:12:59
21750,PE,SELL,2.35,0.05,29/02/2024 13:15:59
21050,PE,BUY,0.25,0.05,29/02/2024 13:15:59
21750,PE,SELL,2.1,0.05,29/02/2024 13:16:59
21050,PE,BUY,0.3,0.05,29/02/2024 13:16:59
21750,PE,SELL,1.85,0.05,29/02/2024 13:31:59
21050,PE,BUY,0.25,0.05,29/02/2024 13:31:59
21750,PE,SELL,1.4,0.05,29/02/2024 13:49:59
21050,PE,BUY,0.25,0.05,29/02/2024 13:49:59
21750,PE,SELL,1.2,0.05,29/02/2024 14:14:59
21050,PE,BUY,0.2,0.05,29/02/2024 14:14:59
21750,PE,SELL,0.95,0.05,29/02/2024 14:27:59
21050,PE,BUY,0.15,0.05,29/02/2024 14:27:59
21750,PE,SELL,0.7,0.05,29/02/2024 14:40:59
21050,PE,BUY,0.1,0.05,29/02/2024 14:40:59
21750,PE,SELL,0.6,0.05,29/02/2024 14:42:59
21050,PE,BUY,0.15,0.05,29/02/2024 14:42:59
21750,PE,SELL,0.5,0.05,29/02/2024 14:49:59
21050,PE,BUY,0.1,0.05,29/02/2024 14:49:59
21750,PE,SELL,0.3,0.05,29/02/2024 15:06:59
21050,PE,BUY,0.1,0.05,29/02/2024 15:06:59
21750,PE,SELL,0.25,0.05,29/02/2024 15:07:59
21050,PE,BUY,0.1,0.05,29/02/2024 15:07:59
21750,PE,SELL,0.2,0.05,29/02/2024 15:08:59
21050,PE,BUY,0.05,0.05,29/02/2024 15:08:59
21750,PE,SELL,0.15,0.05,29/02/2024 15:14:59
21050,PE,BUY,0.05,0.05,29/02/2024 15:14:59
21750,PE,SELL,0.1,0.05,29/02/2024 15:18:59
21050,PE,BUY,0.05,0.05,29/02/2024 15:18:59
21750,PE,SELL,0.05,0.05,29/02/2024 15:22:59
21050,PE,BUY,0.05,0.05,29/02/2024 15:22:59
