strike,optiontype,BUY/SELL,price,current_price,Datetime
21700,CE,SELL,377.25,0.2,01/01/2024 09:20:59
21700,PE,SELL,259.75,348.15,01/01/2024 09:20:59
22400,CE,BUY,94.7,0.05,01/01/2024 09:20:59
21000,PE,BUY,84.1,0.05,01/01/2024 09:20:59
21700,PE,SELL,232.55,348.15,01/01/2024 10:51:59
21000,PE,BUY,72.35,0.05,01/01/2024 10:51:59
21700,PE,SELL,206.2,348.15,01/01/2024 14:04:59
21000,PE,BUY,62.9,0.05,01/01/2024 14:04:59
21700,CE,SELL,339.1,0.2,02/01/2024 09:59:59
22400,CE,BUY,75.95,0.05,02/01/2024 09:59:59
21700,CE,SELL,304.75,0.2,02/01/2024 10:39:59
22400,CE,BUY,64.9,0.05,02/01/2024 10:39:59
21700,CE,SELL,274.05,0.2,03/01/2024 09:43:59
22400,CE,BUY,54.2,0.05,03/01/2024 09:43:59
21700,CE,SELL,245.0,0.2,03/01/2024 14:31:59
22400,CE,BUY,43.15,0.05,03/01/2024 14:31:59
21700,CE,SELL,220.05,0.2,03/01/2024 15:14:59
22400,CE,BUY,35.65,0.05,03/01/2024 15:14:59
21700,CE,SELL,198.0,0.2,08/01/2024 11:55:59
22400,CE,BUY,21.8,0.05,08/01/2024 11:55:59
21700,CE,SELL,176.0,0.2,08/01/2024 15:13:59
22400,CE,BUY,20.2,0.05,08/01/2024 15:13:59
21700,PE,SELL,184.0,348.15,09/01/2024 11:46:59
21000,PE,BUY,36.7,0.05,09/01/2024 11:46:59
21700,CE,SELL,155.8,0.2,10/01/2024 09:28:59
22400,CE,BUY,16.0,0.05,10/01/2024 09:28:59
21700,PE,SELL,138.5,348.15,12/01/2024 10:10:59
21000,PE,BUY,21.75,0.05,12/01/2024 10:10:59
21700,PE,SELL,122.65,348.15,12/01/2024 13:20:59
21000,PE,BUY,21.8,0.05,12/01/2024 13:20:59
21700,PE,SELL,109.85,348.15,12/01/2024 14:31:59
21000,PE,BUY,20.75,0.05,12/01/2024 14:31:59
21700,PE,SELL,98.65,348.15,12/01/2024 15:28:59
21000,PE,BUY,19.55,0.05,12/01/2024 15:28:59
21700,PE,SELL,72.8,348.15,15/01/2024 09:20:59
21000,PE,BUY,14.4,0.05,15/01/2024 09:20:59
21700,PE,SELL,64.5,348.15,15/01/2024 15:23:59
21000,PE,BUY,15.2,0.05,15/01/2024 15:23:59
21700,CE,SELL,98.2,0.2,18/01/2024 09:20:59
22400,CE,BUY,8.2,0.05,18/01/2024 09:20:59
21700,CE,SELL,85.6,0.2,18/01/2024 09:30:59
22400,CE,BUY,6.95,0.05,18/01/2024 09:30:59
21700,CE,SELL,75.5,0.2,18/01/2024 09:38:59
22400,CE,BUY,6.15,0.05,18/01/2024 09:38:59
21700,CE,SELL,67.4,0.2,18/01/2024 09:48:59
22400,CE,BUY,6.6,0.05,18/01/2024 09:48:59
21700,CE,SELL,60.0,0.2,18/01/2024 09:56:59
22400,CE,BUY,6.7,0.05,18/01/2024 09:56:59
21700,CE,SELL,53.25,0.2,23/01/2024 10:51:59
22400,CE,BUY,2.3,0.05,23/01/2024 10:51:59
21700,CE,SELL,47.15,0.2,23/01/2024 11:40:59
22400,CE,BUY,3.0,0.05,23/01/2024 11:40:59
21700,CE,SELL,41.25,0.2,23/01/2024 11:45:59
22400,CE,BUY,3.45,0.05,23/01/2024 11:45:59
21700,CE,SELL,35.9,0.2,23/01/2024 11:58:59
22400,CE,BUY,3.35,0.05,23/01/2024 11:58:59
21700,CE,SELL,32.3,0.2,23/01/2024 12:04:59
22400,CE,BUY,3.3,0.05,23/01/2024 12:04:59
21700,CE,SELL,27.7,0.2,23/01/2024 12:46:59
22400,CE,BUY,3.0,0.05,23/01/2024 12:46:59
21700,CE,SELL,24.4,0.2,23/01/2024 13:08:59
22400,CE,BUY,2.9,0.05,23/01/2024 13:08:59
21700,CE,SELL,21.35,0.2,23/01/2024 13:10:59
22400,CE,BUY,3.0,0.05,23/01/2024 13:10:59
21700,CE,SELL,18.85,0.2,23/01/2024 13:58:59
22400,CE,BUY,2.9,0.05,23/01/2024 13:58:59
21700,CE,SELL,16.7,0.2,23/01/2024 14:21:59
22400,CE,BUY,3.25,0.05,23/01/2024 14:21:59
21700,CE,SELL,14.4,0.2,23/01/2024 14:26:59
22400,CE,BUY,3.6,0.05,23/01/2024 14:26:59
21700,CE,SELL,12.85,0.2,23/01/2024 14:44:59
22400,CE,BUY,3.15,0.05,23/01/2024 14:44:59
21700,CE,SELL,11.1,0.2,23/01/2024 14:57:59
22400,CE,BUY,3.35,0.05,23/01/2024 14:57:59
21700,CE,SELL,7.4,0.2,24/01/2024 09:20:59
