strike,optiontype,BUY/SELL,price,current_price,Datetime
19300,CE,SELL,223.55,360.3,03/07/2023 09:20:59
19300,PE,SELL,183.7,0.05,03/07/2023 09:20:59
20000,CE,BUY,15.85,0.05,03/07/2023 09:20:59
18600,PE,BUY,38.7,0.05,03/07/2023 09:20:59
19300,PE,SELL,161.65,0.05,03/07/2023 13:04:59
18600,PE,BUY,37.0,0.05,03/07/2023 13:04:59
19300,PE,SELL,145.0,0.05,04/07/2023 09:31:59
18600,PE,BUY,33.4,0.05,04/07/2023 09:31:59
19300,PE,SELL,129.9,0.05,06/07/2023 10:13:59
18600,PE,BUY,27.55,0.05,06/07/2023 10:13:59
19300,PE,SELL,116.4,0.05,06/07/2023 14:18:59
18600,PE,BUY,24.9,0.05,06/07/2023 14:18:59
19300,PE,SELL,104.55,0.05,07/07/2023 09:57:59
18600,PE,BUY,21.35,0.05,07/07/2023 09:57:59
19300,PE,SELL,82.7,0.05,11/07/2023 09:53:59
18600,PE,BUY,13.9,0.05,11/07/2023 09:53:59
19300,PE,SELL,74.15,0.05,11/07/2023 12:00:59
18600,PE,BUY,13.1,0.05,11/07/2023 12:00:59
19300,PE,SELL,61.95,0.05,13/07/2023 09:20:59
18600,PE,BUY,9.9,0.05,13/07/2023 09:20:59
19300,PE,SELL,54.8,0.05,13/07/2023 09:48:59
18600,PE,BUY,10.55,0.05,13/07/2023 09:48:59
19300,PE,SELL,47.8,0.05,14/07/2023 15:00:59
18600,PE,BUY,7.5,0.05,14/07/2023 15:00:59
19300,PE,SELL,42.85,0.05,14/07/2023 15:17:59
18600,PE,BUY,7.95,0.05,14/07/2023 15:17:59
19300,PE,SELL,38.5,0.05,14/07/2023 15:29:59
18600,PE,BUY,7.85,0.05,14/07/2023 15:29:59
19300,PE,SELL,34.5,0.05,17/07/2023 10:18:59
18600,PE,BUY,7.5,0.05,17/07/2023 10:18:59
19300,PE,SELL,30.9,0.05,17/07/2023 13:42:59
18600,PE,BUY,7.85,0.05,17/07/2023 13:42:59
19300,PE,SELL,27.75,0.05,18/07/2023 09:20:59
18600,PE,BUY,9.55,0.05,18/07/2023 09:20:59
19300,PE,SELL,24.35,0.05,18/07/2023 13:56:59
18600,PE,BUY,7.65,0.05,18/07/2023 13:56:59
19300,PE,SELL,21.8,0.05,18/07/2023 15:29:59
18600,PE,BUY,6.4,0.05,18/07/2023 15:29:59
19300,PE,SELL,19.3,0.05,19/07/2023 09:20:59
18600,PE,BUY,6.3,0.05,19/07/2023 09:20:59
19300,PE,SELL,17.05,0.05,19/07/2023 12:50:59
18600,PE,BUY,5.05,0.05,19/07/2023 12:50:59
19300,PE,SELL,15.3,0.05,19/07/2023 14:43:59
18600,PE,BUY,5.0,0.05,19/07/2023 14:43:59
19300,PE,SELL,13.6,0.05,19/07/2023 14:59:59
18600,PE,BUY,4.6,0.05,19/07/2023 14:59:59
19300,PE,SELL,12.1,0.05,20/07/2023 09:36:59
18600,PE,BUY,4.8,0.05,20/07/2023 09:36:59
19300,PE,SELL,10.6,0.05,20/07/2023 14:14:59
18600,PE,BUY,4.4,0.05,20/07/2023 14:14:59
19300,PE,SELL,9.45,0.05,20/07/2023 15:00:59
18600,PE,BUY,4.35,0.05,20/07/2023 15:00:59
19300,PE,SELL,8.45,0.05,21/07/2023 15:16:59
18600,PE,BUY,1.95,0.05,21/07/2023 15:16:59
19300,PE,SELL,7.55,0.05,24/07/2023 10:06:59
18600,PE,BUY,1.75,0.05,24/07/2023 10:06:59
19300,PE,SELL,6.75,0.05,24/07/2023 10:35:59
18600,PE,BUY,2.0,0.05,24/07/2023 10:35:59
19300,PE,SELL,6.0,0.05,24/07/2023 12:52:59
18600,PE,BUY,1.55,0.05,24/07/2023 12:52:59
19300,PE,SELL,5.35,0.05,24/07/2023 14:04:59
18600,PE,BUY,1.5,0.05,24/07/2023 14:04:59
19300,PE,SELL,4.7,0.05,25/07/2023 11:55:59
18600,PE,BUY,1.3,0.05,25/07/2023 11:55:59
19300,PE,SELL,3.4,0.05,25/07/2023 13:00:59
18600,PE,BUY,1.25,0.05,25/07/2023 13:00:59
19300,PE,SELL,2.85,0.05,25/07/2023 14:22:59
18600,PE,BUY,1.1,0.05,25/07/2023 14:22:59
19300,PE,SELL,2.35,0.05,25/07/2023 14:58:59
18600,PE,BUY,0.9,0.05,25/07/2023 14:58:59
19300,PE,SELL,2.05,0.05,25/07/2023 15:27:59
18600,PE,BUY,0.7,0.05,25/07/2023 15:27:59
19300,PE,SELL,1.8,0.05,26/07/2023 13:06:59
18600,PE,BUY,0.85,0.05,26/07/2023 13:06:59
19300,PE,SELL,1.6,0.05,26/07/2023 14:08:59
18600,PE,BUY,0.8,0.05,26/07/2023 14:08:59
19300,PE,SELL,1.3,0.05,26/07/2023 14:55:59
18600,PE,BUY,0.5,0.05,26/07/2023 14:55:59
19300,PE,SELL,1.15,0.05,26/07/2023 14:57:59
18600,PE,BUY,0.55,0.05,26/07/2023 14:57:59
19300,PE,SELL,1.0,0.05,26/07/2023 15:29:59
18600,PE,BUY,0.4,0.05,26/07/2023 15:29:59
19300,PE,SELL,0.85,0.05,27/07/2023 09:43:59
18600,PE,BUY,0.4,0.05,27/07/2023 09:43:59
19300,PE,SELL,0.75,0.05,27/07/2023 10:05:59
18600,PE,BUY,0.3,0.05,27/07/2023 10:05:59
19300,PE,SELL,0.65,0.05,27/07/2023 10:39:59
18600,PE,BUY,0.25,0.05,27/07/2023 10:39:59
19300,PE,SELL,0.55,0.05,27/07/2023 14:08:59
18600,PE,BUY,0.4,0.05,27/07/2023 14:08:59
19300,PE,SELL,0.4,0.05,27/07/2023 14:14:59
18600,PE,BUY,0.25,0.05,27/07/2023 14:14:59
19300,PE,SELL,0.35,0.05,27/07/2023 14:28:59
18600,PE,BUY,0.3,0.05,27/07/2023 14:28:59
19300,PE,SELL,0.3,0.05,27/07/2023 14:32:59
18600,PE,BUY,0.3,0.05,27/07/2023 14:32:59
19300,PE,SELL,0.25,0.05,27/07/2023 14:44:59
18600,PE,BUY,0.2,0.05,27/07/2023 14:44:59
19300,PE,SELL,0.2,0.05,27/07/2023 15:01:59
18600,PE,BUY,0.15,0.05,27/07/2023 15:01:59
19300,PE,SELL,0.15,0.05,27/07/2023 15:06:59
18600,PE,BUY,0.15,0.05,27/07/2023 15:06:59
19300,PE,SELL,0.1,0.05,27/07/2023 15:10:59
18600,PE,BUY,0.15,0.05,27/07/2023 15:10:59
19300,PE,SELL,0.05,0.05,27/07/2023 15:18:59
