strike,optiontype,BUY/SELL,price,current_price,Datetime
18550,CE,SELL,248.2,263.7,01/06/2023 09:20:59
18550,PE,SELL,172.25,2.45,01/06/2023 09:20:59
19250,CE,BUY,18.7,0.55,01/06/2023 09:20:59
17850,PE,BUY,35.6,0.6,01/06/2023 09:20:59
18550,CE,SELL,222.95,263.7,01/06/2023 14:45:59
19250,CE,BUY,14.95,0.55,01/06/2023 14:45:59
18550,PE,SELL,151.3,2.45,02/06/2023 13:26:59
17850,PE,BUY,26.4,0.6,02/06/2023 13:26:59
18550,PE,SELL,117.6,2.45,05/06/2023 12:24:59
17850,PE,BUY,20.55,0.6,05/06/2023 12:24:59
18550,PE,SELL,105.75,2.45,07/06/2023 09:22:59
17850,PE,BUY,19.1,0.6,07/06/2023 09:22:59
18550,PE,SELL,94.5,2.45,07/06/2023 12:47:59
17850,PE,BUY,17.65,0.6,07/06/2023 12:47:59
18550,PE,SELL,80.5,2.45,08/06/2023 10:47:59
17850,PE,BUY,17.8,0.6,08/06/2023 10:47:59
18550,PE,SELL,71.9,2.45,13/06/2023 11:28:59
17850,PE,BUY,11.3,0.6,13/06/2023 11:28:59
18550,PE,SELL,64.4,2.45,14/06/2023 09:21:59
17850,PE,BUY,10.45,0.6,14/06/2023 09:21:59
18550,PE,SELL,57.75,2.45,14/06/2023 13:37:59
17850,PE,BUY,10.4,0.6,14/06/2023 13:37:59
18550,PE,SELL,51.8,2.45,15/06/2023 09:54:59
17850,PE,BUY,9.2,0.6,15/06/2023 09:54:59
18550,PE,SELL,39.15,2.45,16/06/2023 10:30:59
17850,PE,BUY,6.25,0.6,16/06/2023 10:30:59
18550,PE,SELL,34.1,2.45,16/06/2023 14:14:59
17850,PE,BUY,6.55,0.6,16/06/2023 14:14:59
18550,PE,SELL,30.65,2.45,16/06/2023 14:49:59
17850,PE,BUY,7.1,0.6,16/06/2023 14:49:59
18550,PE,SELL,27.35,2.45,20/06/2023 15:11:59
17850,PE,BUY,4.55,0.6,20/06/2023 15:11:59
18550,PE,SELL,24.35,2.45,20/06/2023 15:24:59
17850,PE,BUY,4.35,0.6,20/06/2023 15:24:59
18550,PE,SELL,21.85,2.45,21/06/2023 13:37:59
17850,PE,BUY,3.95,0.6,21/06/2023 13:37:59
18550,PE,SELL,19.5,2.45,21/06/2023 15:06:59
17850,PE,BUY,3.95,0.6,21/06/2023 15:06:59
18550,PE,SELL,16.9,2.45,22/06/2023 15:29:59
17850,PE,BUY,2.9,0.6,22/06/2023 15:29:59
18550,PE,SELL,13.8,2.45,22/06/2023 13:38:59
17850,PE,BUY,2.85,0.6,22/06/2023 13:38:59
18550,CE,SELL,195.65,263.7,23/06/2023 09:27:59
19250,CE,BUY,2.9,0.55,23/06/2023 09:27:59
18550,CE,SELL,173.3,263.7,26/06/2023 09:21:59
19250,CE,BUY,2.1,0.55,26/06/2023 09:21:59
18550,CE,SELL,155.6,263.7,26/06/2023 12:59:59
19250,CE,BUY,2.05,0.55,26/06/2023 12:59:59
18550,PE,SELL,9.0,2.45,27/06/2023 09:20:59
17850,PE,BUY,1.45,0.6,27/06/2023 09:20:59
18550,PE,SELL,8.0,2.45,27/06/2023 09:24:59
17850,PE,BUY,1.5,0.6,27/06/2023 09:24:59
18550,PE,SELL,7.05,2.45,27/06/2023 11:28:59
17850,PE,BUY,1.15,0.6,27/06/2023 11:28:59
18550,PE,SELL,5.85,2.45,27/06/2023 11:46:59
17850,PE,BUY,1.15,0.6,27/06/2023 11:46:59
18550,PE,SELL,5.2,2.45,27/06/2023 12:02:59
17850,PE,BUY,1.15,0.6,27/06/2023 12:02:59
18550,PE,SELL,4.45,2.45,27/06/2023 13:11:59
17850,PE,BUY,1.05,0.6,27/06/2023 13:11:59
18550,PE,SELL,4.0,2.45,27/06/2023 13:51:59
17850,PE,BUY,1.05,0.6,27/06/2023 13:51:59
18550,PE,SELL,3.55,2.45,27/06/2023 14:10:59
17850,PE,BUY,1.35,0.6,27/06/2023 14:10:59
18550,PE,SELL,3.15,2.45,27/06/2023 14:52:59
17850,PE,BUY,1.05,0.6,27/06/2023 14:52:59
18550,PE,SELL,2.8,2.45,27/06/2023 15:08:59
17850,PE,BUY,1.2,0.6,27/06/2023 15:08:59
18550,PE,SELL,2.45,2.45,27/06/2023 15:29:59
17850,PE,BUY,0.6,0.6,27/06/2023 15:29:59
