strike,optiontype,BUY/SELL,price,current_price,Datetime
22100,CE,SELL,425.35,227.9,01/03/2024 09:20:59
22100,PE,SELL,279.35,0.2,01/03/2024 09:20:59
22800,CE,BUY,123.0,0.05,01/03/2024 09:20:59
21400,PE,BUY,89.55,0.05,01/03/2024 09:20:59
22100,PE,SELL,240.6,0.2,01/03/2024 11:10:59
21400,PE,BUY,77.65,0.05,01/03/2024 11:10:59
22100,PE,SELL,214.25,0.2,01/03/2024 13:59:59
21400,PE,BUY,66.3,0.05,01/03/2024 13:59:59
22100,PE,SELL,191.35,0.2,02/03/2024 09:26:59
21400,PE,BUY,59.4,0.05,02/03/2024 09:26:59
22100,PE,SELL,168.0,0.2,04/03/2024 09:20:59
21400,PE,BUY,47.7,0.05,04/03/2024 09:20:59
22100,PE,SELL,150.05,0.2,05/03/2024 13:00:59
21400,PE,BUY,38.65,0.05,05/03/2024 13:00:59
22100,PE,SELL,134.0,0.2,06/03/2024 14:11:59
21400,PE,BUY,32.3,0.05,06/03/2024 14:11:59
22100,PE,SELL,118.9,0.2,06/03/2024 14:42:59
21400,PE,BUY,28.8,0.05,06/03/2024 14:42:59
22100,PE,SELL,105.7,0.2,07/03/2024 13:50:59
21400,PE,BUY,23.9,0.05,07/03/2024 13:50:59
22100,CE,SELL,326.3,227.9,13/03/2024 11:48:59
22800,CE,BUY,51.8,0.05,13/03/2024 11:48:59
22100,CE,SELL,289.8,227.9,13/03/2024 13:22:59
22800,CE,BUY,46.85,0.05,13/03/2024 13:22:59
22100,CE,SELL,253.5,227.9,13/03/2024 14:17:59
22800,CE,BUY,38.1,0.05,13/03/2024 14:17:59
22100,CE,SELL,227.55,227.9,14/03/2024 09:20:59
22800,CE,BUY,30.15,0.05,14/03/2024 09:20:59
22100,CE,SELL,186.5,227.9,15/03/2024 12:22:59
22800,CE,BUY,17.35,0.05,15/03/2024 12:22:59
22100,CE,SELL,125.5,227.9,19/03/2024 10:22:59
22800,CE,BUY,8.7,0.05,19/03/2024 10:22:59
