strike,optiontype,BUY/SELL,price,current_price,Datetime
18100,CE,SELL,237.75,220.75,02/05/2023 09:20:59
18100,PE,SELL,140.8,0.05,02/05/2023 09:20:59
18800,CE,BUY,15.45,0.05,02/05/2023 09:20:59
17400,PE,BUY,26.3,0.05,02/05/2023 09:20:59
18100,PE,SELL,126.35,0.05,02/05/2023 09:31:59
17400,PE,BUY,24.2,0.05,02/05/2023 09:31:59
18100,CE,SELL,199.65,220.75,03/05/2023 09:29:59
18800,CE,BUY,12.35,0.05,03/05/2023 09:29:59
18100,PE,SELL,113.4,0.05,04/05/2023 14:33:59
17400,PE,BUY,19.3,0.05,04/05/2023 14:33:59
18100,PE,SELL,98.0,0.05,04/05/2023 15:03:59
17400,PE,BUY,16.2,0.05,04/05/2023 15:03:59
18100,PE,SELL,86.75,0.05,08/05/2023 12:14:59
17400,PE,BUY,14.3,0.05,08/05/2023 12:14:59
18100,PE,SELL,75.75,0.05,09/05/2023 09:21:59
17400,PE,BUY,13.3,0.05,09/05/2023 09:21:59
18100,PE,SELL,67.7,0.05,09/05/2023 11:42:59
17400,PE,BUY,13.75,0.05,09/05/2023 11:42:59
18100,PE,SELL,58.55,0.05,11/05/2023 15:23:59
17400,PE,BUY,10.3,0.05,11/05/2023 15:23:59
18100,PE,SELL,52.65,0.05,15/05/2023 09:25:59
17400,PE,BUY,7.05,0.05,15/05/2023 09:25:59
18100,PE,SELL,46.8,0.05,15/05/2023 09:45:59
17400,PE,BUY,6.9,0.05,15/05/2023 09:45:59
18100,PE,SELL,42.05,0.05,15/05/2023 10:05:59
17400,PE,BUY,6.6,0.05,15/05/2023 10:05:59
18100,PE,SELL,37.65,0.05,15/05/2023 11:11:59
17400,PE,BUY,6.55,0.05,15/05/2023 11:11:59
18100,PE,SELL,32.9,0.05,15/05/2023 12:39:59
17400,PE,BUY,6.75,0.05,15/05/2023 12:39:59
18100,CE,SELL,178.35,220.75,17/05/2023 11:50:59
18800,CE,BUY,4.95,0.05,17/05/2023 11:50:59
18100,CE,SELL,159.85,220.75,17/05/2023 13:02:59
18800,CE,BUY,4.8,0.05,17/05/2023 13:02:59
18100,CE,SELL,143.15,220.75,18/05/2023 15:01:59
18800,CE,BUY,2.95,0.05,18/05/2023 15:01:59
18100,CE,SELL,127.55,220.75,19/05/2023 09:33:59
18800,CE,BUY,2.55,0.05,19/05/2023 09:33:59
18100,CE,SELL,114.25,220.75,19/05/2023 09:39:59
18800,CE,BUY,2.3,0.05,19/05/2023 09:39:59
18100,CE,SELL,102.15,220.75,19/05/2023 09:54:59
18800,CE,BUY,2.35,0.05,19/05/2023 09:54:59
18100,CE,SELL,89.55,220.75,19/05/2023 10:39:59
18800,CE,BUY,2.35,0.05,19/05/2023 10:39:59
