strike,optiontype,BUY/SELL,price,current_price,Datetime
19100,CE,SELL,270.85,1035.0,01/11/2023 09:20:59
19100,PE,SELL,204.1,0.1,01/11/2023 09:20:59
19800,CE,BUY,33.0,334.0,01/11/2023 09:20:59
18400,PE,BUY,47.75,0.05,01/11/2023 09:20:59
19100,CE,SELL,242.55,1035.0,01/11/2023 10:00:59
19800,CE,BUY,28.4,334.0,01/11/2023 10:00:59
19100,CE,SELL,214.0,1035.0,01/11/2023 13:17:59
19800,CE,BUY,24.1,334.0,01/11/2023 13:17:59
19100,PE,SELL,168.8,0.1,02/11/2023 09:20:59
18400,PE,BUY,36.6,0.05,02/11/2023 09:20:59
19100,PE,SELL,151.85,0.1,02/11/2023 15:02:59
18400,PE,BUY,30.6,0.05,02/11/2023 15:02:59
19100,PE,SELL,108.6,0.1,03/11/2023 09:20:59
18400,PE,BUY,20.75,0.05,03/11/2023 09:20:59
19100,PE,SELL,74.6,0.1,06/11/2023 12:29:59
18400,PE,BUY,15.25,0.05,06/11/2023 12:29:59
19100,PE,SELL,66.2,0.1,06/11/2023 14:21:59
18400,PE,BUY,14.5,0.05,06/11/2023 14:21:59
19100,PE,SELL,59.2,0.1,08/11/2023 09:20:59
18400,PE,BUY,12.85,0.05,08/11/2023 09:20:59
19100,PE,SELL,52.8,0.1,08/11/2023 13:21:59
18400,PE,BUY,12.45,0.05,08/11/2023 13:21:59
19100,PE,SELL,47.35,0.1,10/11/2023 15:24:59
18400,PE,BUY,9.3,0.05,10/11/2023 15:24:59
19100,PE,SELL,39.2,0.1,13/11/2023 13:57:59
18400,PE,BUY,7.65,0.05,13/11/2023 13:57:59
19100,PE,SELL,18.55,0.1,15/11/2023 09:29:59
18400,PE,BUY,6.75,0.05,15/11/2023 09:29:59
19100,PE,SELL,16.4,0.1,15/11/2023 15:26:59
18400,PE,BUY,6.0,0.05,15/11/2023 15:26:59
19100,PE,SELL,14.75,0.1,16/11/2023 09:41:59
18400,PE,BUY,5.55,0.05,16/11/2023 09:41:59
19100,PE,SELL,13.15,0.1,16/11/2023 11:03:59
18400,PE,BUY,5.05,0.05,16/11/2023 11:03:59
19100,PE,SELL,11.8,0.1,16/11/2023 14:27:59
18400,PE,BUY,4.95,0.05,16/11/2023 14:27:59
19100,PE,SELL,9.4,0.1,20/11/2023 10:35:59
18400,PE,BUY,2.95,0.05,20/11/2023 10:35:59
19100,PE,SELL,6.75,0.1,21/11/2023 09:32:59
18400,PE,BUY,2.25,0.05,21/11/2023 09:32:59
19100,PE,SELL,5.9,0.1,22/11/2023 09:20:59
18400,PE,BUY,2.05,0.05,22/11/2023 09:20:59
19100,PE,SELL,5.25,0.1,22/11/2023 14:29:59
18400,PE,BUY,1.8,0.05,22/11/2023 14:29:59
19100,PE,SELL,4.7,0.1,22/11/2023 14:56:59
18400,PE,BUY,1.75,0.05,22/11/2023 14:56:59
19100,PE,SELL,4.2,0.1,22/11/2023 15:27:59
18400,PE,BUY,1.85,0.05,22/11/2023 15:27:59
19100,PE,SELL,3.7,0.1,23/11/2023 09:20:59
18400,PE,BUY,1.7,0.05,23/11/2023 09:20:59
19100,PE,SELL,3.3,0.1,23/11/2023 12:26:59
18400,PE,BUY,1.75,0.05,23/11/2023 12:26:59
19100,PE,SELL,2.95,0.1,23/11/2023 13:59:59
18400,PE,BUY,1.5,0.05,23/11/2023 13:59:59
19100,PE,SELL,2.6,0.1,24/11/2023 09:29:59
18400,PE,BUY,1.25,0.05,24/11/2023 09:29:59
19100,PE,SELL,2.3,0.1,24/11/2023 10:10:59
18400,PE,BUY,0.85,0.05,24/11/2023 10:10:59
19100,PE,SELL,2.05,0.1,24/11/2023 13:30:59
18400,PE,BUY,0.9,0.05,24/11/2023 13:30:59
19100,PE,SELL,1.55,0.1,28/11/2023 09:20:59
18400,PE,BUY,0.75,0.05,28/11/2023 09:20:59
19100,PE,SELL,1.35,0.1,28/11/2023 09:33:59
18400,PE,BUY,0.75,0.05,28/11/2023 09:33:59
19100,PE,SELL,1.2,0.1,28/11/2023 10:29:59
18400,PE,BUY,0.55,0.05,28/11/2023 10:29:59
19100,PE,SELL,1.05,0.1,28/11/2023 13:57:59
18400,PE,BUY,0.6,0.05,28/11/2023 13:57:59
19100,PE,SELL,0.6,0.1,30/11/2023 09:20:59
18400,PE,BUY,0.55,0.05,30/11/2023 09:20:59
19100,PE,SELL,0.5,0.1,30/11/2023 09:58:59
18400,PE,BUY,0.45,0.05,30/11/2023 09:58:59
19100,PE,SELL,0.4,0.1,30/11/2023 10:04:59
18400,PE,BUY,0.4,0.05,30/11/2023 10:04:59
19100,PE,SELL,0.35,0.1,30/11/2023 10:08:59
18400,PE,BUY,0.35,0.05,30/11/2023 10:08:59
19100,PE,SELL,0.3,0.1,30/11/2023 10:34:59
18400,PE,BUY,0.25,0.05,30/11/2023 10:34:59
19100,PE,SELL,0.25,0.1,30/11/2023 10:55:59
18400,PE,BUY,0.2,0.05,30/11/2023 10:55:59
19100,PE,SELL,0.2,0.1,30/11/2023 14:13:59
18400,PE,BUY,0.15,0.05,30/11/2023 14:13:59
19100,PE,SELL,0.15,0.1,30/11/2023 14:48:59
18400,PE,BUY,0.1,0.05,30/11/2023 14:48:59
19100,PE,SELL,0.1,0.1,30/11/2023 14:54:59
18400,PE,BUY,0.1,0.05,30/11/2023 14:54:59
19100,PE,SELL,0.05,0.1,30/11/2023 15:17:59
18400,PE,BUY,0.05,0.05,30/11/2023 15:17:59
