strike,optiontype,BUY/SELL,price,current_price,Datetime
19550,CE,SELL,256.0,0.05,03/10/2023 09:20:59
19550,PE,SELL,210.25,694.95,03/10/2023 09:20:59
20250,CE,BUY,29.1,0.05,03/10/2023 09:20:59
18850,PE,BUY,46.6,0.05,03/10/2023 09:20:59
19550,CE,SELL,230.0,0.05,03/10/2023 10:00:59
20250,CE,BUY,26.0,0.05,03/10/2023 10:00:59
19550,CE,SELL,162.8,0.05,04/10/2023 09:20:59
20250,CE,BUY,16.2,0.05,04/10/2023 09:20:59
19550,CE,SELL,145.95,0.05,04/10/2023 11:48:59
20250,CE,BUY,14.75,0.05,04/10/2023 11:48:59
19550,PE,SELL,187.0,694.95,05/10/2023 09:34:59
18850,PE,BUY,31.1,0.05,05/10/2023 09:34:59
19550,PE,SELL,168.0,694.95,05/10/2023 10:58:59
18850,PE,BUY,26.7,0.05,05/10/2023 10:58:59
19550,PE,SELL,131.4,694.95,06/10/2023 11:20:59
18850,PE,BUY,17.1,0.05,06/10/2023 11:20:59
19550,PE,SELL,118.0,694.95,06/10/2023 14:01:59
18850,PE,BUY,15.1,0.05,06/10/2023 14:01:59
19550,PE,SELL,106.0,694.95,10/10/2023 14:17:59
18850,PE,BUY,18.8,0.05,10/10/2023 14:17:59
19550,PE,SELL,75.85,694.95,11/10/2023 09:20:59
18850,PE,BUY,14.85,0.05,11/10/2023 09:20:59
19550,PE,SELL,68.25,694.95,11/10/2023 13:13:59
18850,PE,BUY,12.9,0.05,11/10/2023 13:13:59
19550,PE,SELL,59.2,694.95,12/10/2023 10:43:59
18850,PE,BUY,9.15,0.05,12/10/2023 10:43:59
19550,PE,SELL,41.4,694.95,17/10/2023 09:20:59
18850,PE,BUY,5.7,0.05,17/10/2023 09:20:59
19550,PE,SELL,37.25,694.95,17/10/2023 09:45:59
18850,PE,BUY,5.45,0.05,17/10/2023 09:45:59
19550,PE,SELL,33.0,694.95,18/10/2023 10:08:59
18850,PE,BUY,4.55,0.05,18/10/2023 10:08:59
19550,CE,SELL,122.4,0.05,19/10/2023 09:20:59
20250,CE,BUY,3.6,0.05,19/10/2023 09:20:59
19550,CE,SELL,108.15,0.05,19/10/2023 09:35:59
20250,CE,BUY,3.75,0.05,19/10/2023 09:35:59
19550,CE,SELL,96.5,0.05,20/10/2023 09:58:59
20250,CE,BUY,2.05,0.05,20/10/2023 09:58:59
19550,CE,SELL,84.85,0.05,20/10/2023 11:46:59
20250,CE,BUY,1.65,0.05,20/10/2023 11:46:59
19550,CE,SELL,76.0,0.05,23/10/2023 09:20:59
20250,CE,BUY,1.5,0.05,23/10/2023 09:20:59
19550,CE,SELL,68.15,0.05,23/10/2023 09:34:59
20250,CE,BUY,1.2,0.05,23/10/2023 09:34:59
19550,CE,SELL,56.75,0.05,23/10/2023 10:09:59
20250,CE,BUY,1.2,0.05,23/10/2023 10:09:59
19550,CE,SELL,49.85,0.05,23/10/2023 10:14:59
20250,CE,BUY,1.4,0.05,23/10/2023 10:14:59
19550,CE,SELL,40.75,0.05,23/10/2023 10:27:59
20250,CE,BUY,1.55,0.05,23/10/2023 10:27:59
19550,CE,SELL,35.0,0.05,23/10/2023 11:46:59
20250,CE,BUY,1.6,0.05,23/10/2023 11:46:59
19550,CE,SELL,31.45,0.05,23/10/2023 13:12:59
20250,CE,BUY,1.7,0.05,23/10/2023 13:12:59
19550,CE,SELL,27.75,0.05,23/10/2023 13:32:59
20250,CE,BUY,1.65,0.05,23/10/2023 13:32:59
19550,CE,SELL,24.95,0.05,23/10/2023 14:33:59
20250,CE,BUY,1.65,0.05,23/10/2023 14:33:59
19550,CE,SELL,22.1,0.05,23/10/2023 14:44:59
20250,CE,BUY,1.75,0.05,23/10/2023 14:44:59
19550,CE,SELL,19.5,0.05,23/10/2023 14:51:59
20250,CE,BUY,1.65,0.05,23/10/2023 14:51:59
19550,CE,SELL,17.55,0.05,23/10/2023 14:57:59
20250,CE,BUY,1.75,0.05,23/10/2023 14:57:59
19550,CE,SELL,14.65,0.05,23/10/2023 15:06:59
20250,CE,BUY,1.95,0.05,23/10/2023 15:06:59
19550,CE,SELL,12.55,0.05,23/10/2023 15:09:59
20250,CE,BUY,1.65,0.05,23/10/2023 15:09:59
19550,CE,SELL,11.0,0.05,23/10/2023 15:21:59
20250,CE,BUY,2.05,0.05,23/10/2023 15:21:59
19550,CE,SELL,9.9,0.05,23/10/2023 15:22:59
20250,CE,BUY,1.9,0.05,23/10/2023 15:22:59
19550,CE,SELL,8.85,0.05,25/10/2023 09:21:59
20250,CE,BUY,1.4,0.05,25/10/2023 09:21:59
19550,CE,SELL,7.9,0.05,25/10/2023 09:25:59
20250,CE,BUY,1.3,0.05,25/10/2023 09:25:59
19550,CE,SELL,6.4,0.05,25/10/2023 10:00:59
20250,CE,BUY,1.15,0.05,25/10/2023 10:00:59
19550,CE,SELL,5.75,0.05,25/10/2023 10:30:59
20250,CE,BUY,1.0,0.05,25/10/2023 10:30:59
19550,CE,SELL,5.05,0.05,25/10/2023 10:49:59
20250,CE,BUY,0.95,0.05,25/10/2023 10:49:59
19550,CE,SELL,4.4,0.05,25/10/2023 11:24:59
20250,CE,BUY,0.95,0.05,25/10/2023 11:24:59
19550,CE,SELL,3.95,0.05,25/10/2023 11:39:59
20250,CE,BUY,1.05,0.05,25/10/2023 11:39:59
19550,CE,SELL,3.5,0.05,25/10/2023 12:08:59
20250,CE,BUY,1.2,0.05,25/10/2023 12:08:59
19550,CE,SELL,3.1,0.05,25/10/2023 13:09:59
20250,CE,BUY,1.4,0.05,25/10/2023 13:09:59
19550,CE,SELL,2.7,0.05,25/10/2023 13:49:59
20250,CE,BUY,1.65,0.05,25/10/2023 13:49:59
